row_id,bir,ki,bu,nə,aşıq,ey,hər,ilə,kim,mən,o,i,də,ol,ələsgər,kimi,sən,var,oldu,da,çox,mənim,məni,gün,dedi,can,tək,idi,mənə,olur
199,17,6,1,1,0,1,8,9,19,0,0,4,0,9,0,3,1,3,1,0,1,0,0,1,0,2,4,0,0,37
200,0,5,1,6,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1,1,1,2,0,0,5,0,4,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1
202,0,0,5,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
203,1,1,1,0,0,1,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,3,3,3,1,0,0,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
205,2,4,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,0,2,2,2,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
207,2,2,0,0,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
208,1,2,1,3,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
209,1,0,0,1,0,0,1,0,3,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
210,1,0,0,3,0,2,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
211,1,0,0,1,0,0,2,0,3,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
212,2,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,1,1,0,0,0
213,11,13,11,0,0,3,1,15,1,4,0,2,1,0,0,1,10,1,2,1,0,2,1,2,0,2,2,0,1,0
214,6,9,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
215,1,5,4,0,0,0,0,1,0,1,0,0,3,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
216,4,5,0,0,0,2,0,0,0,4,0,1,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0
217,5,7,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0
218,8,7,11,6,0,4,4,4,0,5,0,0,4,0,0,4,3,2,0,0,0,0,3,2,0,1,1,1,2,0
