term_id,token,term_frequency,document_frequency
1245,dövründə,22,16
1246,düşən,22,21
1247,dəmadəm,22,19
1248,dəyməz,22,12
1249,edərəm,22,16
1250,eyləyir,22,20
1251,eşitdi,22,14
1252,faş,22,20
1253,fəqr,22,18
1254,gizli,22,21
1255,gözlə,22,8
1256,gözəllərin,22,21
1257,güllə,22,8
1258,gəlmişəm,22,17
1259,gəlsə,22,21
1260,gеdib,22,8
1261,halım,22,21
1262,halını,22,20
1263,haradan,22,14
1264,harda,22,17
1265,hikmət,22,19
1266,hüsnü,22,21
1267,həkim,22,14
1268,həmid,22,3
1269,içindəyəm,22,4
1270,içəri,22,7
1271,kuyin,22,22
1272,könlün,22,22
1273,kəndinə,22,12
1274,lap,22,12
1275,m,22,7
1276,mehman,22,16
1277,meydan,22,13
1278,müddət,22,14
1279,müşkül,22,20
1280,mərdi,22,21
1281,məsti,22,15
1282,naleyi,22,20
1283,nara,22,14
1284,nsan,22,16
1285,nəsiminin,22,22
1286,oynar,22,7
1287,qılmaz,22,15
1288,qılsa,22,17
1289,qədr,22,19
1290,rvaham,22,4
1291,salır,22,20
1292,sin,22,13
1293,sinə,22,17
1294,sultanı,22,19
1295,torpağı,22,11
1296,tərəfdən,22,16
1297,vardı,22,18
1298,verməz,22,14
1299,vəsfini,22,18
1300,vəsl,22,20
1301,vətən,22,18
1302,xalın,22,18
1303,xanə,22,12
1304,xələt,22,19
1305,xəyali,22,21
1306,xеyir,22,11
1307,yanağın,22,22
1308,yandırdı,22,20
1309,şaha,22,18
1310,şəfa,22,17
1311,şəhi,22,19
1312,şərh,22,18
1313,əbəd,22,21
1314,əlli,22,14
1315,əsiri,22,21
1316,əsli,22,21
1317,еylər,22,17
1318,ahim,21,21
1319,alim,21,15
1320,andan,21,18
1321,apardı,21,18
1322,aqibət,21,20
